"300 obtained, 0 missing (300 visible)",,Short URL: http://goo.gl/HxAzdJ  --  Item search: http://toukiden.surge.sh/itemsearch -- Mitama skill search: http://toukiden.surge.sh/mitamasearch -- To have your own editable checklist: File -> Make a Copy...,,,,,,,,,,,,,,,,,,,
#,Name,Obtained,New in Kiwami,Confirmed source,Type,Age,Source,Difficulty,Where to find,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12
081,Izumo no Okuni,x,,x,SPT,War,Chapter 4,-,,Attack up (Lv.1),Antidote,Knowledge (Lv.2),Pursuit (Stock +1),Attack up (Lv.2),Pursuit+ (Bolster),Pursuit+ (Leech),Knowledge (Lv.3),SPT Master (Augument),SPT Master (Rigid),Pursuit+ (Purify),Armory
082,Izumo Takeru,x,,x,DEF,Yore,Skyshredder,Normal,"C5-14, P5-7",Might+ (Sturdy),Attack up (Lv.2),Protection (Lv. 2),Taunt (Stock +2),Barrier (Stock +1),Might (Stock +2),Carnage (Reduce),Protection (Lv. 3),DEF Master (Rigid),Barrier+ (Link),Taunt+ (Damage),Protection (Lv. 4)
083,Jianzhen,x,,x,LCK,Grace,Skyshredder,Normal,C5-9,Knowledge (Lv.1),Fitness (Lv. 1),Renewal (Lv. 1),Random+ (SPC Style),Random (Stock +2),Sanctum+ (Hardy),Warp+ (Flight),Sanctum+ (Accuracy),Fortune+ (Remove),Heroes' Rally,Fortune+ (Accuracy),Devastation
084,Jigoku Dayu,x,x,x,SPT,Honor,Mynx,Ex,P11-4,Attack up (Lv.3),Pursuit+ (Bolster),Assertion,Abyss,Knowledge (Lv.3),Fountain+ (Exploit),Fountain+ (Bolster),Attack up (Lv.4),Knowledge (Lv.4),Knowledge (Leech),Devotion,SPT Master (Devote)
085,Jippensha Ikku,x,x,x,PLN,Peace,Caterwauler,Ultimate,"C13-22, C13-23, P13-15, P13-16, P17-5",Relaxation,Breaker+ (Reduce),Fortune+ (Amplify),Ablution+ (Reduce),Fortune+ (Accuracy),Fortune+ (Wraith),Ablution+ (Restore),Fortune+ (Surprise),Fortune+ (Miracle),Intensity+ (Destroy),Exploit (Wrath),Protection of Heroes
086,Jiraiya,x,,x,DCT,Peace,Chapter 5,-,,Affliction (Lv. 2),Fervor,Restoration (Lv. 2),Puncture (Stock +2),Illusion (Reduce),Warp+ (Accuracy),Puncture (Reduce),Charge,Gymnast,Puncture (Time +10s),DCT Master (Assault),Heroes' Rally
087,John Manjiro,x,,x,SPC,Chaos,Pyrogrinder,Normal,"C5-16, P5-9",Protection of Heroes,Fortune (Time +10s),Piety,Sanctum (Stock +2),Fitness (Lv. 2),Random (Stock +2),Devotion,Tolerance (Lv. 3),Restart,Fortune+ (Blessing),Escort Duty,Introspection
088,Kajiwara Kagetoki,x,,x,SPD,Honor,Bloodhunter,Normal,P4-12,Protection (Lv. 1),Fervor,Verity (Lv.2),Energy (Stock +2),Application (Lv. 2),Zeal (Stock +2),Taunt+ (Swift),Verity (Lv.3),Recovery (Stock +2),Shield+ (Link),Dissection (Focus),Charge
089,Kakinomoto no Hitomaro,x,,x,SPD,Yore,Terragrinder,Normal,"C4-8, C5-6, P4-8, P5-15",Attack up (Lv.1),Shield (Stock +1),Swiftness,Carnage (Reduce),Application (Lv. 2),Energy (Stock +2),Attack up (Lv.3),Verity (Lv.3),Expert Destroyer,Might+ (Nimble),Vigor+ (Wraith),Swordsmanship
090,Kamiizumi Nobutsuna,x,,x,SPC,War,Sickleclaws,Ex,"C6-3, P6-3",Fitness (Lv. 2),Chain,Heroes' Rally,Fountain+ (Bolster),Paradox+ (Brawn),Pursuit+ (Bolster),Fountain+ (Attract),Paradox+ (Bolster),SPT Master (Devote),Paradox+ (Link),Gouge Master,Prescience
091,Kamo no Chomei,x,,x,DCT,Honor,Windshredder,Ex,"C8-5, P6-2, P6-10, P6-16, P9-17",Swiftness,Affliction (Lv. 2),Energy (Reduce),Stupor (Stock +1),Affliction (Lv. 3),Energy (Time +10s),Expert Destroyer,Agility+ (Sneak),Stupor (Reduce),Vigor+ (Sneak),Energy+ (Exploit),Exploit (Wrath)
092,Kamo no Tadayuki,x,,x,DCT,Grace,Dreadhalf,Ex,"C6-11, C7-12, P7-12, P8-2, P10-5",Protection (Lv. 2),Illusion+ (Sturdy),Protection (Lv. 3),DCT Master (Sneak),Puncture+ (Amplify),Taunt (Stock +2),Taunt (Time +10s),DEF Master (Lure),DEF Master (Resist),Illusion (Stock +3),Illusion+ (Surprise),Exploit (Leech)
093,Kano Eitoku,x,,x,SPT,War,Umbrapod,Normal,"C5-5, S-3, S-12, S-15",Knowledge (Lv.1),Fountain+ (Attract),Determination,Knowledge (Lv.2),Attack up (Lv.2),Leech+ (Wraith),Might (Reduce),Verity (Lv.3),Fountain (Stock +3),Eruption+ (Accuracy),Leech+ (Havoc),Swordsmanship
094,Kasamori Osen,x,,x,LCK,Peace,Viper Queen,Normal,"C5-10, P5-2",Recovery+ (Bonus),Relaxation,Random (Stock +2),LCK Master (Recover),Lifesaver,Recovery (Stock +2),Recovery+ (Heal),Warmth,Tolerance (Lv. 3),Recovery+ (Range),Recovery+ (Amplify),Recovery (Stock +3)
095,Kashinkoji,x,x,x,DCT,War,Petros,Ex,"C10-9, C11-1, P11-14",Affliction (Lv. 3),Exigency,Ablution (Stock +2),Stupor (Stock +1),Affliction (Lv. 4),Puncture+ (Accuracy),Ablution+ (Wrath),DCT Master (Assault),PLN Master (Amplify),Stupor+ (Destroy),Intensity (Amplify),Exploit (Wrath)
096,Katsu Kaishu,x,,x,SPC,Chaos,Hell's Warden,Normal,"C5-12, C5-15, P5-5, P5-8",Sanctum (Stock +1),Assertion,Piety,Warp (Stock +5),Fitness (Lv. 2),Sanctum+ (Accuracy),Sanctum (Reduce),Sanctum (Time +5s),Tolerance (Lv. 3),Sanctum+ (Quicken),Breakthrough,Sanctum (Stock +3)
097,Katsura Kogoro,x,,x,LCK,Chaos,Bloodhunter,Normal,"C4-13, P4-17",Attack up (Lv.1),LCK Master (Recover),Conviction,Fortune (Stock +1),Random+ (Cautious),Random (Stock +2),Random (Reduce),Devotion,LCK Master (Random),Attack up (Lv.3),Recovery+ (Bonus),Random+ (Ward)
098,Katsushika Hokusai,x,,x,DEF,Peace,Jollux,Normal,C4-9,Lure (Lv. 1),Swiftness,Stamina (Lv. 2),Shield (Stock +2),Protection (Lv. 2),Vigor+ (Special),Energy (Reduce),Restoration (Lv. 3),Persistence,Vigor+ (Rigid),Restoration (Lv. 4),Determination
099,Keishoin,x,,x,SPT,Peace,Astrapteryx,Normal,"C5-8, S-16",Attack up (Lv.1),Notice Destroyer,Knowledge (Lv.2),Dissection (Focus),Might+ (Attributes),Might (Stock +2),Carnage (Reduce),Knowledge (Lv.3),Heroes' Rally,Carnage+ (Destroy),SPT Master (Havoc),Swordsmanship
100,Ki no Tsurayuki,x,,x,SPT,Grace,Skyshredder,Normal,C5-9,Protection (Lv. 1),Pursuit (Stock +2),Knowledge (Lv.2),Persistence,Attack up (Lv.2),Shield (Stock +2),Barrier (Reduce),Attack up (Lv.3),Taunt+ (Protect),Barrier+ (Shred),Fountain+ (Assist),Charity
101,Kibi no Makibi,x,x,x,LCK,Grace,Onyxwing,Ultimate,"P16-4, P16-20, P17-2",Extinguishment,Prescience,Random (Stock +3),Exploit (Rage),Fortune+ (Surprise),Random+ (SPC Style),Paradox+ (Bolster),Random+ (DCT Style),Stupor (Time +2s),Random+ (SPT Style),Eruption+ (Bolster),Fortune+ (Blessing)
102,Kiichi Hogen,x,,x,DEF,Honor,Chapter 5,-,,Chain,DEF Master (Valiant),Taunt (Stock +2),SPT Master (Rigid),Tenacity,Fountain (Stock +2),Eruption (Reduce),Fitness (Lv. 2),Prescience,SPT Master (Devote),Knowledge (Lv.4),Knowledge (Leech)
103,Kirigakure Saizo,x,x,x,SPC,War,Amaranthine King,Ultimate,P16-13,Restart,Chain,Warp (Bonus),Great Ambition,Warp (Stock +15),Paradox+ (Bolster),Paradox (Stock +1),Warp+ (Accuracy),Heroes' Rally,Paradox (Time +5s),SPC Master (Extend),Paradox (Stock +2)
104,Kiso Yoshinaka,x,,x,ATK,Honor,Chthonian Fiend,Normal,"C4-17, C5-11, P4-18, P5-3",Warmth,Attack up (Lv.2),Might+ (Surprise),Puncture+ (Accuracy),Illusion (Stock +1),Dissection (Focus),Puncture (Reduce),Leech (Stock +2),Attack up (Lv.3),Leech (Time +10s),Exploit (Absorb),Exploit (Rage)
105,Kitabatake Akiie,x,x,x,SPD,Honor,Phytodior,Ex,"C8-6, C10-2, P11-4",Swiftness,Expert Destroyer,Energy+ (Swift),Energy+ (Quicken),Whirlwind,Intensity+ (Reduce),Ablution+ (Quicken),Swordsmanship,Ablution+ (Wrath),Vigor+ (Destroy),Intensity+ (Link),Insight
106,Komatsu Tatewaki,x,x,x,SUP,Chaos,Nightstorm,Ultimate,"P15-22, P16-10, P17-6",Dissection (Health),Altruism+ (Reduce),Recuperation (Lv. 2),Lifebringer,Altruism+ (Nimble),Expert Destroyer,Altruism+ (Accuracy),Altruism+ (Wraith),Recovery+ (Amplify),Altruism+ (Destroy),Altruism+ (Qinggong),Majesty
107,Kondo Isami,x,,x,ATK,Chaos,Hell's Warden,Ex,"C7-14, C9-5, P7-7, P8-16",Tenacity,Attack up (Lv.2),Chain,Leech (Stock +2),Swordsmanship,Random (Stock +2),Fortune (Time +5s),Random+ (ATK Style),Restart,Fortune+ (Accuracy),Leech+ (Wraith),Master Destroyer
108,Konohanasakuya,x,x,x,SUP,Yore,Screecher,Ultimate,"C13-13, P13-6, P17-1",Extinguishment,Bound Souls,Altruism+ (Reduce),HLG Master (Cure),Diffusion+ (Assist),Panacea (Reduce),Altruism+ (Nimble),Vitality+ (Assist),Altruism+ (Destroy),Majesty,Panacea+ (Destroy),Charity
109,Kukai,x,,x,SPC,Grace,Viper Queen,Ex,"C6-5, C6-17, P6-14, P10-13",Fitness (Lv. 1),Sanctum+ (Accuracy),Piety,Warp (Stock +5),Fitness (Lv. 2),Warp+ (Reverse),Sanctum (Reduce),Sanctum (Time +10s),SPC Master (Purify),Paradox+ (Restrain),Sanctum+ (Quicken),SPC Master (Quicken)
110,Kumaso Takeru,x,,x,LCK,Yore,Skyshredder,Normal,"C5-14, P5-7",Affliction (Lv. 1),Fervor,Chance,Random (Stock +2),Fortune+ (Amplify),Fortune+ (Kismet),Fortune (Time +5s),Verity (Lv.3),Puncture (Stock +2),DCT Master (Assault),Fortune+ (Accuracy),Verity (Lv.4)
111,Kunisada Chuji,x,,x,LCK,Peace,Astrapteryx,Normal,"C5-8, S-16",Attack up (Lv.1),Fortune (Time +5s),Chain,Fortune (Stock +2),SPT Master (Devote),Eruption+ (Accuracy),Desperation,Attack up (Lv.3),Fortune+ (Wraith),Fountain+ (Bolster),Fortune+ (Blessing),Swordsmanship
112,Kuroda Kanbei,x,x,x,SPT,War,Petros,Ex,"C10-9, C11-1, P11-14",Knowledge (Lv.3),Swiftness,Swordsmanship,Ablution+ (Potency),Eruption+ (Accuracy),SPT Master (Havoc),Ablution+ (Restore),Ablution (Time +3s),Heroes' Rally,Knowledge (Lv.4),Knowledge (Absorb),Devastation
113,Kusaka Genzui,x,,x,SPT,Chaos,Cimmerian King,Ex,P9-12,Pursuit+ (Devour),Extinguishment,Lifesaver,Recovery+ (Range),Stamina (Lv. 3),Recovery (Stock +2),Recovery+ (Heal),Recovery+ (Bonus),Pursuit (Stock +3),SPT Master (Augument),Piety,Recovery (Stock +3)
114,Kusumoto Ine,x,x,x,HLG,Chaos,Glaciabella,Ex,"C9-10, C10-6, C12-8, P12-9",Fraternity,Lifesaver,Renewal (Lv. 2),Vitality+ (Assist),HLG Master (Cure),Protection of Heroes,Recovery+ (Range),Zeal+ (Valor),Vitality+ (Zone),Panacea (Stock +1),Panacea+ (Quicken),Charity
115,Kusunoki Masashige,x,,x,ATK,Honor,Jollux,Normal,C5-3,Affliction (Lv. 1),Might (Stock +1),Stamina (Lv. 2),Wrath,Attack up (Lv.2),Puncture (Stock +2),Stupor (Reduce),Affliction (Lv. 3),Stealth (Lv. 2),DCT Master (Assault),Devastation,Determination
116,Kuzunoha,x,,x,HLG,Grace,Shadow Soul,Ex,C6-13,Zeal+ (Valor),Chain,Application (Lv. 3),Zeal (Stock +3),Zeal (Time +5s),Fortune (Stock +3),Restoration (Lv. 3),Fortune+ (Miracle),Fortune+ (Bonus),HLG Master (Rally),Zeal+ (Attributes),Ebullience
117,Kyokutei Bakin,x,x,x,DCT,Peace,Screecher,Ex,P12-11,Affliction (Lv. 3),Puncture (Stock +2),Illusion+ (Hardy),Altruism+ (Surprise),DCT Master (Sneak),Illusion+ (Surprise),Altruism+ (Nimble),Puncture+ (Surprise),Altruism+ (Accuracy),DCT Master (Surprise),SUP Master (Hardy),Exploit (Leech)
118,Lady Atsu,x,,x,HLG,Chaos,Manhunter,Normal,"C4-13, P4-17",Zeal+ (Wraith),Relaxation,Application (Lv. 3),Tolerance (Lv. 3),Vitality (Stock +3),Recuperation (Lv. 2),Vitality (Reduce),Stamina (Lv. 4),Zeal+ (Rage),Panacea (Stock +1),Vitality+ (Assist),Panacea+ (Destroy)
119,Lady Fuse,x,,x,SPC,Peace,Astrapteryx,Ex,"C7-13, C11-11, P7-13, P8-9, P10-10",Sanctum+ (Quicken),Chain,Piety,Sanctum (Stock +3),Sanctum (Reduce),Sanctum+ (Amplify),Energy (Time +10s),Agility (Stock +2),Application (Lv. 4),Agility+ (Quicken),Sanctum+ (Extend),Protection of Heroes
120,Lady Hangaku,x,x,x,ATK,Honor,Abyssal Fiend,Ultimate,"P15-13, P15-16, P17-17",Expert Destroyer,Heroes' Rally,Prescience,Three Arrows,Might+ (Nimble),Leech+ (Absorb),ATK Master (Amplify),Leech+ (Wraith),Leech+ (Amplify),Might+ (Havoc),Majesty,Leech+ (Havoc)
121,Lady Iga,x,x,x,PLN,Honor,Chthonian Fiend,Normal,"C4-17, C5-11, P4-18, P5-3",Renewal (Lv. 1),Stamina (Lv. 2),Muscle-bound,Altruism+ (Accuracy),Attack up (Lv.3),Breaker (Time +10s),Altruism+ (Amplify),PLN Master (Amplify),Altruism+ (Wraith),Attack up (Lv.4),Breaker+ (Havok),Charge
122,Lady Ina,x,x,x,SPD,War,Phytodior,Ex,"C12-9, P11-2, P12-4",Fervor,Swordsmanship,Prescience,Conduction,Altruism+ (Amplify),Energy+ (Quicken),Altruism (Time +10s),Energy+ (Accuracy),Altruism+ (Accuracy),Energy+ (Range),Altruism+ (Qinggong),Majesty
123,Lady Kaguya,x,,x,DEF,Grace,Bloodhunter,Normal,C4-7,Chance,Relaxation,Stamina (Lv. 2),Shield (Stock +2),Taunt+ (Amity),Recovery (Stock +2),Stone Wall,Vitality+ (Rigid),Vitality (Stock +2),Protection (Lv. 3),Vitality+ (Assist),Exuberance
124,Lady Kai,x,x,x,SUP,War,Stealthwing,Ultimate,"P14-22, P17-4",Stamina (Lv. 4),Charge,Swordsmanship,Butterfly Dance,SUP Master (Hardy),Exuberance,Sacrifice (Time +10s),Diffusion+ (Hardy),Majesty,Sacrifice+ (Rally),Sacrifice+ (Leech),Sacrifice (Stock +2)
125,Lady Kasuga,x,,x,SPT,Peace,Viper Queen,Normal,"C5-10, P5-2",Wrath,Attack up (Lv.2),Knowledge (Lv.2),Pursuit (Stock +2),Pursuit+ (Accuracy),Verity (Lv.2),Eruption+ (Accuracy),Devotion,Expert Destroyer,Knowledge (Lv.4),Energy+ (Accuracy),Verity (Lv.4)
126,Lady Kushinada,x,x,x,HLG,Yore,Screecher,Ex,"C8-3, C10-1, C11-3, P12-18",Stamina (Lv. 3),Conviction,Ebullience,Vitality+ (Bulwark),Stamina (Lv. 4),Zeal+ (Accuracy),Devotion,Zeal+ (Amplify),Vitality+ (Rigid),Zeal+ (Attributes),Exuberance,Zeal+ (Rage)
127,Lady Mego,x,x,x,DCT,War,Onyxwing,Ex,P11-13,Verity (Lv.3),Charity,Bound Souls,Puncture+ (Absorb),Leech+ (Amplify),Puncture+ (Attrib.),DCT Master (Assault),Verity (Lv.4),Carnage (Time +10s),Puncture+ (Accuracy),Reload +2,Heroes' Rally
128,Lady Miyazu,x,x,x,SPT,Yore,Viper Queen,Ultimate,P15-1,Knowledge (Lv.4),Restart,SPT Master (Havoc),Tempered Blade,SPT Master (Purify),Pursuit+ (Devour),Fountain+ (Bolster),Eruption+ (Bolster),SPT Master (Renewal),SPT Master (Devote),Exuberance,Eruption (Stock +2)
129,Lady No,x,,x,DCT,War,Cimmerian King,Normal,"C5-18, C5-19, P5-18",Protection (Lv. 2),Stealth (Lv. 1),Antidote,Illusion (Stock +2),Verity (Lv.2),Recovery+ (Heal),Puncture (Reduce),Puncture (Time +10s),Affliction (Lv. 3),Puncutre (Stock +3),Master Assassin,Puncture+ (Amplify)
130,Lady Ototachibana,x,,x,SPD,Yore,Shadow Soul,Normal,"C4-1, C5-6, P5-7, S-14",Assertion,Swiftness,Verity (Lv.2),Agility (Stock +2),Application (Lv. 2),Vitality (Stock +2),Zeal (Reduce),Verity (Lv.3),Recovery (Stock +2),HLG Master (Rally),Agility+ (Bonus),Fervor
131,Lady Sen,x,,x,HLG,Peace,Bladewing,Normal,"C4-16, C5-2, P4-10, P4-13",Protection (Lv. 2),Relaxation,Stamina (Lv. 2),Zeal (Stock +2),Tolerance (Lv. 2),Verity (Lv.2),HLG Master (Quicken),Stamina (Lv. 4),Vitality+ (Amplify),Recovery+ (Range),Zeal+ (Amplify),Recovery+ (Amplify)
132,Lady Shizuka,x,,x,SPT,Honor,Skyshredder,Ex,"C6-4, C6-16, P6-4, P9-17, S-20",Knowledge (Lv.2),Fountain (Reduce),Recovery+ (Heal),Fountain (Stock +2),Knowledge (Lv.3),Paradox+ (Bolster),DCT Master (Assault),Knowledge (Lv.4),SPT Master (Devote),Fountain+ (Surprise),Butterfly Dance,Knowledge (Leech)
133,Lady Sotoori,x,,x,HLG,Yore,Viper Queen,Ex,"C7-3, P7-3, P7-16, P10-11",Tolerance (Lv. 2),Lifesaver,Stamina (Lv. 2),Zeal+ (Wraith),Zeal+ (Amplify),Fountain (Stock +2),Fountain+ (Attract),Zeal+ (Swift),SPT Master (Renewal),Pursuit+ (Devour),Zeal+ (Attributes),Exuberance
134,Lady Suzuka,x,,x,SPC,Grace,Harrowhalf,Ex,"C7-12, C10-4, P7-12, P8-15, P9-16",Recovery (Stock +2),Piety,Lifesaver,Warp+ (Teleport),SPC Master (Purify),Pursuit (Stock +3),SPC Master (Quicken),Sanctum+ (Hardy),Panacea (Stock +1),Recovery+ (Range),Sanctum+ (Assist),Charity
135,Lady Takiyasha,x,,x,DCT,Grace,Manhunter,Ex,"C6-13, P6-1, P6-15, P9-16, P10-13",Lifesaver,DCT Master (Sneak),Restoration (Lv. 2),Illusion (Stock +2),Affliction (Lv. 3),Recovery (Stock +1),Recovery+ (Range),Recovery+ (Bonus),Protection of Heroes,Recovery+ (Blessing),Exploit (Absorb),DCT Master (Surprise)
136,Lady Tokiwa,x,,x,HLG,Honor,Aurwing,Normal,"C2-1, C5-4, P2-1",Recuperation (Lv. 1),Recovery (Stock +1),Zeal (Stock +2),Lifesaver,Tolerance (Lv. 2),Zeal+ (Amplify),Zeal (Reduce),Zeal (Time +5s),Zeal+ (Ardor),Zeal+ (Accuracy),Swiftness,Zeal+ (Wraith)
137,Lady Tomoe,x,,x,ATK,Honor,Shadow Soul,Ex,C6-12,Chance,Heroes' Rally,Might (Time +5s),Prescience,Sanctum (Time +5s),Recuperation (Lv. 2),Paradox (Reduce),Restoration (Lv. 3),Carnage (Time +10s),Paradox+ (Restrain),Falling Petals,Charity
138,Lady Tsuru,x,x,x,SPT,War,Thanatoceros,Ex,"C11-18, P11-12",Evasion,Recovery+ (Range),SPT Master (Purify),Great Ambition,Altruism+ (Amplify),Fountain+ (Bolster),Fountain+ (Attract),Altruism+ (Attrib.),Altruism+ (Nimble),SPT Master (Renewal),Altruism+ (Wraith),Exuberance
139,Lady Yamato,x,,x,SPT,Yore,Viper Queen,Ex,"C7-3, P7-3, P7-16, P10-11",Renewal (Lv. 2),Chain,Pursuit+ (Track),Fountain (Stock +2),SPT Master (Purify),Pursuit+ (Absorb),Zeal (Reduce),Vitality (Stock +3),Vitality (Time +10s),Zeal+ (Rage),Pursuit+ (Devour),Devotion
140,Maeda Keiji,x,,x,LCK,War,Windshredder,Ex,"C6-7, P10-9",Attack up (Lv.2),Desperation,Perseverance,Random+ (Gamble),Attack up (Lv.3),Might+ (Rage),Devastation,Random+ (ATK Style),Fortune+ (Gambler),Carnage+ (Link),Fervor,Tenacity
141,Maeda Toshiie,x,x,x,PLN,War,Jollux,Normal,"C2-8, C2-13, P2-13, P3-2",Dissection (Health),Notice Destroyer,Concentration,Breaker (Stock +1),Random+ (Ward),Random (Stock +2),Breaker+ (Amplify),Prescience,Expert Destroyer,Random+ (PLN Style),Majesty,Intensity+ (Link)
142,Matsu,x,,x,HLG,War,Manhunter,Normal,C2-12,Stamina (Lv. 1),Recovery (Stock +1),Stamina (Lv. 2),Vitality (Stock +1),Tolerance (Lv. 2),Ebullience,Zeal (Reduce),Zeal+ (Swift),Zeal+ (Rage),Zeal (Stock +3),Ablution+ (Potency),Majesty
143,Matsudaira Katamori,x,x,x,SPC,Chaos,Chapter 10,-,,Fraternity,Chain,Fervor,Warp (Stock +10),Sanctum+ (Assist),Sanctum+ (Swift),Sanctum+ (Quicken),SPC Master (Purify),Charity,SPC Master (Quicken),Paradox+ (Assist),Warp+ (Accuracy)
144,Matsudaira Nobutsuna,x,x,x,SUP,Peace,Maledictaur,Ultimate,"P14-13, P14-14, P17-5",Fitness (Lv. 2),Chain,Altruism (Stock +3),Diffusion (Stock +3),Arms of Steel,Energy+ (Bonus),Energy+ (Quicken),SUP Master (Hardy),Energy+ (Range),Altruism+ (Qinggong),Vigor+ (Special),Restart
145,Matsunaga Hisahide,x,x,x,DCT,War,Crepusculos,Ultimate,P17-15,Affliction (Lv. 4),Antidote,Restart,Master Assassin,Puncutre (Stock +3),DCT Master (Assault),Exploit (Leech),Exploit (Absorb),Puncture+ (Amplify),Lowered Immunity,Devastation,Stupor (Stock +2)
146,Matsuo Basho,x,,x,DCT,Peace,Shadow Soul,Ex,"C7-5, C8-7, P7-17",Affliction (Lv. 2),Persistence,Affliction (Lv. 3),Illusion (Stock +3),Renewal (Lv. 1),Illusion+ (Hardy),Illusion (Reduce),Illusion (Time +5s),Renewal (Lv. 2),Illusion+ (Sneak),Restart,Illusion+ (Sanctity)
147,Minabuchi no Shoan,x,x,x,HLG,Yore,Pyrogrinder,Ultimate,"P14-9, P14-16",Tolerance (Lv. 4),Vitality+ (Bulwark),Diffusion (Time +10s),Vitality (Reduce),Fitness (Lv. 2),Diffusion+ (Rigid),Diffusion+ (Hardy),Vitality+ (Zone),Diffusion+ (Quicken),Vitality+ (Assist),SUP Master (Hardy),Charity
148,Minamoto no Hiromasa,x,,x,SPD,Grace,Shadow Soul,Normal,C4-7,Affliction (Lv. 1),Application (Lv. 2),Verity (Lv.2),Puncture+ (Shoot),Stupor (Reduce),Puncture (Stock +2),Swordsmanship,Affliction (Lv. 3),Stealth (Lv. 2),Agility (Stock +3),DCT Master (Surprise),Exploit (Absorb)
149,Minamoto no Tametomo,x,,x,ATK,Honor,Chthonian Fiend,Ex,"P8-17, P9-20, P10-15",Ebullience,Verity (Lv.2),Energy+ (Bonus),Leech (Stock +2),Dissection (Health),Energy+ (Lure),Devotion,Leech+ (Amplify),Attack up (Lv.3),Leech (Time +10s),Conduction,Attack up (Lv.4)
150,Minamoto no Yorimasa,x,,x,SPC,Honor,Hell's Sentinel,Ex,"P8-4, P10-6, P12-10",SPC Master (Quicken),Chain,Devastation,Warp (Stock +10),Fitness (Lv. 2),Might (Stock +2),Attack up (Lv.4),Warp+ (Accuracy),Might+ (Rage),ATK Master (Amplify),Convergence,Wrath
151,Minamoto no Yorimitsu,x,,x,ATK,Grace,Imp,Normal,"C1-1, P1-1, P2-12",Attack up (Lv.1),Stamina (Lv. 2),Chain,Leech (Stock +1),Might+ (Rage),Notice Destroyer,Might (Reduce),Might (Time +10s),Might (Stock +3),Fitness (Lv. 2),Renewal (Lv. 2),Might+ (Range)
152,Minamoto no Yoritomo,x,,x,DEF,Honor,Skyshredder,Ex,"C6-4, C6-16, P6-4, P9-17, S-20",Persistence,Application (Lv. 3),SPT Master (Rigid),Shield+ (Valiant),Vitality+ (Rigid),Pursuit+ (Track),Verity (Lv.3),Stealth (Lv. 2),Protection (Lv. 4),DEF Master (Rigid),Barrier+ (Awe),Heroes' Rally
153,Minamoto no Yoshiie,x,x,x,PLN,Grace,Harrowhalf,Normal,"C3-15, C4-12, P3-15, P4-4",Knowledge (Lv.1),Perseverance,Breaker (Time +5s),Knowledge (Lv.2),Convergence,SPT Master (Devote),Breaker+ (Havok),PLN Master (Extend),Knowledge (Lv.3),SPT Master (Havoc),Eruption+ (Bolster),Knowledge (Lv.4)
154,Minamoto no Yoshitomo,x,x,x,PLN,Honor,Chthonian Fiend,Ultimate,"P15-3, P15-16, P17-17",Fraternity,Verity (Lv.3),Exigency,Swordsmanship,Ablution+ (Wrath),Recovery+ (Heal),Verity (Lv.4),Three Arrows,Bound Souls,Intensity (Range),Charity,Introspection
155,Minamoto no Yoshitsune,x,,x,SPD,Honor,Abyssal Fiend,Ex,"P8-18, P9-4, P9-17, P9-20, S-23",Master Destroyer,Devastation,Swordsmanship,Energy (Stock +3),Restoration (Lv. 2),DCT Master (Wraith),Vigor (Reduce),Dissection (Health),Expert Destroyer,Vigor+ (Wraith),Intensity (Amplify),Insight
156,Mito Mitsukuni,x,,x,SPC,Peace,Pyropteryx,Ex,"C7-1, C7-5, P7-1, P7-14, P10-10, P12-2",Swiftness,Warp (Bonus),Piety,Sanctum (Stock +2),Fitness (Lv. 2),Warp (Stock +10),Warp (Reduce),SPC Master (Purify),Paradox (Stock +1),Warp+ (Teleport),Chain,Warp+ (Assembly)
157,Miura Anjin,x,x,x,LCK,Peace,Snowflame,Ex,"C12-4, P12-1",Chain,Escort Duty,Random (Stock +3),Heroes' Rally,Fortune+ (Accuracy),Random+ (ATK Style),Carnage+ (Almighty),Random+ (PLN Style),Intensity+ (Link),Random+ (SPD Style),Vigor+ (Wraith),Fortune+ (Amplify)
158,Miyamoto Musashi,x,,x,ATK,War,Chthonian Fiend,Ex,"C7-18, P8-1, P10-12, P10-20",Dissection (Focus),Chain,Verity (Lv.2),Gouge Master,Attack up (Lv.2),Leech+ (Absorb),Carnage (Reduce),Devastation,Fitness (Lv. 2),Carnage+ (Link),Conviction,Carnage (Stock +1)
159,Momotaro,x,,x,SPD,Honor,Pale Aurwing,Ex,C6-2,Verity (Lv.1),Determination,Notice Destroyer,Agility (Stock +2),Dissection (Focus),Agility+ (Dual),Gouge Master,Chance,Expert Destroyer,Carnage+ (Link),Leech+ (Absorb),Evasion
160,Mononobe no Moriya,x,,x,DEF,Yore,Nightblade,Ex,"C7-10, C11-17, P9-14, P9-18, P10-11, P11-10",Recuperation (Lv. 2),Protection (Lv. 2),Stone Wall,Vitality+ (Sturdy),Taunt (Reduce),Shield+ (Valiant),Recovery+ (Amplify),Taunt (Stock +3),Taunt+ (Sturdy),Protection (Lv. 4),Vitality+ (Rigid),Chance
161,Mori Motonari,x,,x,DCT,War,Jollux,Ex,"C6-3, P6-3, P6-17, P10-12",Stealth (Lv. 1),Ebullience,Recovery (Stock +2),Illusion (Stock +3),Illusion+ (Hardy),Devastation,Gymnast,Determination,Illusion+ (Sturdy),Affliction (Lv. 4),Three Arrows,Exploit (Wrath)
